year,start_date,end_date,location_id,image
2000,2000-06-15,2000-06-17,1,festival_image_1.jpg
2001,2001-06-15,2001-06-17,2,festival_image_2.jpg
2002,2002-06-15,2002-06-17,3,festival_image_3.jpg
2003,2003-06-15,2003-06-17,4,festival_image_4.jpg
2004,2004-06-15,2004-06-17,5,festival_image_5.jpg
2005,2005-06-15,2005-06-17,6,festival_image_6.jpg
2006,2006-06-15,2006-06-17,7,festival_image_7.jpg
2007,2007-06-15,2007-06-17,8,festival_image_8.jpg
2008,2008-06-15,2008-06-17,9,festival_image_9.jpg
2009,2009-06-15,2009-06-17,10,festival_image_10.jpg
2010,2010-06-15,2010-06-17,1,festival_image_11.jpg
2011,2011-06-15,2011-06-17,2,festival_image_12.jpg
2012,2012-06-15,2012-06-17,3,festival_image_13.jpg
2013,2013-06-15,2013-06-17,4,festival_image_14.jpg
2014,2014-06-15,2014-06-17,5,festival_image_15.jpg
2015,2015-06-15,2015-06-17,6,festival_image_16.jpg
2016,2016-06-15,2016-06-17,7,festival_image_17.jpg
2017,2017-06-15,2017-06-17,8,festival_image_18.jpg
2018,2018-06-15,2018-06-17,9,festival_image_19.jpg
2019,2019-06-15,2019-06-17,10,festival_image_20.jpg
2020,2020-06-15,2020-06-17,1,festival_image_21.jpg
2021,2021-06-15,2021-06-17,2,festival_image_22.jpg
2022,2022-06-15,2022-06-17,3,festival_image_23.jpg
2023,2023-06-15,2023-06-17,4,festival_image_24.jpg
2024,2024-06-15,2024-06-17,5,festival_image_25.jpg
2025,2025-06-15,2025-06-17,6,festival_image_26.jpg
2026,2026-06-15,2026-06-17,7,festival_image_27.jpg
2027,2027-06-15,2027-06-17,8,festival_image_28.jpg
2028,2028-06-15,2028-06-17,9,festival_image_29.jpg
2029,2029-06-15,2029-06-17,10,festival_image_30.jpg
